Pos,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
G,Leno,4.9,4.9,Arsenal,88,3.134,87,4.038,87,3.834,85,3.484,84,3.466
G,Rúnarsson,4.0,4.0,Arsenal,0,0,1,0.046,1,0.044,3,0.123,4,0.164
M,Willian,6.4,6.4,Arsenal,0,0,0,0,0,0,0,0,0,0
F,Aubameyang,9.9,9.9,Arsenal,69,2.544,70,4.559,68,3.597,68,3.539,66,3.081
D,Cédric,4.5,4.5,Arsenal,17,0.296,19,0.912,17,0.696,19,0.667,19,0.652
F,Lacazette,8.4,8.4,Arsenal,37,1.333,55,3.497,57,2.959,54,2.751,54,2.477
M,Xhaka,5.0,5.0,Arsenal,86,1.981,82,2.744,79,2.336,77,2.206,78,2.159
D,Marí,4.5,4.5,Arsenal,82,1.254,65,3.029,54,2.146,53,1.778,56,1.853
D,Bellerín,4.9,4.9,Arsenal,7,0.12,11,0.528,9,0.36,11,0.384,13,0.444
D,Chambers,4.5,4.5,Arsenal,56,0.968,45,2.375,48,2.109,47,1.747,46,1.653
D,Kolasinac,4.4,4.4,Arsenal,4,0.071,1,0.049,2,0.082,1,0.035,2,0.069
M,Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Maitland-Niles,5.4,5.4,Arsenal,0,0,0,0,0,0,0,0,0,0
D,Holding,4.4,4.4,Arsenal,74,1.167,35,1.65,36,1.451,28,0.953,28,0.941
M,Partey,5.0,5.0,Arsenal,0,0,26,0.954,52,1.655,71,2.171,70,2.083
D,Tierney,5.0,5.0,Arsenal,63,1.09,82,4.295,80,3.536,79,2.938,78,2.825
M,Pépé,7.3,7.3,Arsenal,75,2.70,75,5.02,75,4.07,75,3.91,75,3.52
M,Torreira,4.5,4.5,Arsenal,4,0.113,2,0.071,2,0.065,1,0.032,1,0.031
M,Willock,6.0,6.0,Newcastle,64,2.632,58,1.803,55,2.261,55,2.118,59,2.098
F,Nketiah,5.5,5.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Smith Rowe,5.5,5.5,Arsenal,58,1.885,54,2.784,54,2.386,45,1.926,46,1.829
M,Saka,6.4,6.4,Arsenal,65,2.205,65,3.854,66,3.228,63,2.967,68,2.878
D,Gabriel,5.0,5.0,Arsenal,0,0,20,0.947,26,1.052,37,1.266,39,1.315
D,Mavropanos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Guendouzi,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,Martinelli,5.5,5.5,Arsenal,31,1.158,25,1.618,25,1.31,26,1.306,26,1.189
D,Saliba,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
G,Steer,4.0,4.0,Aston Villa,0,0,1,0.035,1,0.042,1,0.036,1,0.036
M,Hourihane,5.0,5.0,Aston Villa,0,0,0,0,0,0,0,0,0,0
G,Martínez,5.5,5.5,Aston Villa,89,3.903,87,3.158,87,3.734,87,3.173,88,3.284
D,Engels,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Traoré,5.9,5.9,Aston Villa,0,0,7,0.259,14,0.695,18,0.698,22,0.902
M,Grealish,8.0,8.0,Man City,67,4.247,67,3.553,66,4.665,64,2.724,63,2.959
M,Sanson,5.0,5.0,Aston Villa,19,0.83,24,0.785,22,0.941,24,0.819,24,0.861
M,McGinn,6.0,6.0,Aston Villa,83,2.989,75,2.046,78,2.668,73,2.075,72,2.149
D,Hause,4.5,4.5,Aston Villa,0,0,2,0.041,5,0.192,4,0.084,4,0.102
M,Trézéguet,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
D,Mings,5.0,5.0,Aston Villa,89,3.501,84,1.558,82,2.975,83,1.523,82,1.901
D,Targett,4.9,4.9,Aston Villa,82,3.14,79,1.492,78,2.774,75,1.404,75,1.764
F,Watkins,7.4,7.4,Aston Villa,61,3.076,57,2.014,59,2.868,57,2.172,58,2.321
M,Nakamba,4.5,4.5,Aston Villa,20,0.642,17,0.474,15,0.473,19,0.535,18,0.519
M,El Ghazi,6.0,6.0,Aston Villa,57,3.375,46,1.782,46,2.638,44,1.851,45,2.033
M,Buendía,6.4,6.4,Aston Villa,75,3.484,70,2.225,66,2.928,67,2.254,65,2.367
D,Cash,5.0,5.0,Aston Villa,86,3.443,84,1.584,82,3.039,83,1.559,81,1.927
D,Konsa,5.0,5.0,Aston Villa,89,3.499,86,1.659,83,3.025,83,1.582,83,1.981
D,Guilbert,4.5,4.5,Aston Villa,3,0.116,5,0.098,7,0.251,5,0.098,7,0.167
F,Wesley,5.5,5.5,Aston Villa,8,0.43,7,0.277,6,0.315,7,0.294,8,0.354
F,Samatta,5.5,5.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
F,Davis,4.5,4.5,Aston Villa,0,0,0,0,0,0,0,0,0,0
M,Douglas Luiz,4.5,4.5,Aston Villa,54,1.696,70,1.748,65,1.988,63,1.639,63,1.699
M,Ramsey,4.5,4.5,Aston Villa,20,0.812,13,0.409,17,0.652,18,0.579,18,0.612
D,Young,5.0,5.0,Aston Villa,4,0.161,6,0.121,7,0.261,9,0.181,10,0.247
M,Lallana,5.5,5.5,Brighton,55,2.205,43,1.704,44,1.737,35,1.476,40,1.647
G,Steele,4.0,4.0,Brighton,0,0,0,0,0,0,1,0.045,1,0.044
M,Groß,6.0,6.0,Brighton,85,4.37,76,3.671,69,3.34,70,3.554,67,3.394
D,Duffy,4.1,4.1,Brighton,83,3.56,83,3.545,83,3.149,83,3.8,83,3.536
M,Pröpper,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Burn,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,Dunk,5.0,5.0,Brighton,88,3.773,85,3.642,82,3.119,81,3.699,81,3.47
M,March,5.5,5.5,Brighton,85,2.933,80,2.727,79,2.693,80,2.839,77,2.719
D,Webster,4.5,4.5,Brighton,87,3.382,84,3.345,81,2.835,81,3.408,81,3.19
D,Veltman,4.5,4.5,Brighton,60,2.319,62,2.446,80,2.775,77,3.193,76,2.959
F,Maupay,6.5,6.5,Brighton,17,0.809,75,3.375,76,3.534,74,3.523,70,3.351
M,Trossard,6.4,6.4,Brighton,76,3.602,54,2.361,51,2.242,47,2.133,49,2.201
G,Ryan,4.5,4.5,Brighton,0,0,0,0,0,0,0,0,0,0
M,Jahanbakhsh,5.5,5.5,Brighton,0,0,0,0,0,0,0,0,0,0
D,White,4.5,4.5,Arsenal,0,0,78,3.57,78,3.042,78,2.563,78,2.546
D,Bernardo,4.0,4.0,Brighton,0,0,0,0,0,0,0,0,0,0
G,Sánchez,4.5,4.5,Brighton,89,3.943,88,3.945,88,3.763,87,3.995,87,3.877
M,Bissouma,4.5,4.5,Brighton,86,2.629,81,2.472,80,2.409,79,2.481,78,2.448
D,Lamptey,4.5,4.5,Brighton,0,0,30,1.214,60,2.166,77,3.309,74,2.983
F,Connolly,5.5,5.5,Brighton,70,3.273,45,2.092,34,1.643,27,1.354,31,1.533
M,Alzate,5.0,5.0,Brighton,13,0.49,11,0.41,8,0.294,6,0.23,6,0.227
M,Mac Allister,5.5,5.5,Brighton,40,1.706,34,1.418,27,1.151,26,1.146,26,1.127
M,Moder,4.5,4.5,Brighton,5,0.197,4,0.15,2,0.075,1,0.038,2,0.076
D,Jansson,4.5,4.5,Brentford,88,2.45,85,3.062,82,2.455,81,1.71,79,1.898
M,Nørgaard,5.0,5.0,Brentford,85,2.454,82,2.472,82,2.348,77,2.098,77,2.163
F,Toney,6.5,6.5,Brentford,85,4.253,80,3.902,81,3.717,81,3.43,79,3.621
M,Fosu,5.4,5.4,Brentford,1,0.043,2,0.085,2,0.082,1,0.039,2,0.081
G,Raya,4.5,4.5,Brentford,89,3.378,89,3.754,87,3.386,88,3.165,87,3.206
M,Canós,5.5,5.5,Brentford,74,2.871,70,2.748,69,2.593,69,2.402,66,2.429
M,Dasilva,5.4,5.4,Brentford,0,0,0,0,0,0,0,0,0,0
D,Henry,4.5,4.5,Brentford,71,2.106,68,2.558,66,2.088,69,1.562,68,1.733
M,Janelt,5.0,5.0,Brentford,79,2.209,75,2.201,75,2.099,73,1.937,71,1.946
M,Ghoddos,5.4,5.4,Brentford,18,0.727,20,0.824,20,0.794,26,0.963,26,1.023
M,Jensen,4.9,4.9,Brentford,0,0,0,0,0,0,0,0,0,0
D,Goode,4.0,4.0,Brentford,2,0.059,4,0.143,6,0.186,9,0.204,11,0.281
F,Forss,5.5,5.5,Brentford,3,0.149,5,0.249,6,0.288,8,0.362,9,0.428
D,Roerslev,4.4,4.4,Brentford,14,0.414,16,0.591,16,0.501,17,0.388,20,0.537
D,Sørensen,4.5,4.5,Brentford,24,0.72,35,1.309,39,1.229,35,0.797,38,0.963
D,Pinnock,4.6,4.6,Brentford,88,2.623,84,3.185,84,2.669,82,1.867,81,2.082
G,Balcombe,4.0,4.0,Brentford,0,0,0,0,0,0,0,0,0,0
M,Zamburek,4.5,4.5,Brentford,2,0.071,3,0.107,4,0.138,6,0.199,6,0.205
G,Gunnarsson,4.0,4.0,Brentford,0,0,0,0,1,0.039,0,0,1,0.037
F,Dervişoğlu,5.5,5.5,Brentford,4,0.192,5,0.241,6,0.273,7,0.307,9,0.41
M,Mbeumo,5.5,5.5,Brentford,82,3.961,79,3.856,78,3.526,76,3.187,74,3.283
M,Bidstrup,4.5,4.5,Brentford,20,0.679,20,0.687,24,0.788,21,0.659,25,0.807
D,Tarkowski,5.0,5.0,Burnley,89,2.856,86,2.327,86,2.899,84,1.863,79,3.55
D,Bardsley,4.0,4.0,Burnley,0,0,11,0.267,7,0.212,9,0.182,20,0.792
D,Pieters,4.5,4.5,Burnley,7,0.204,13,0.333,17,0.546,22,0.48,18,0.743
M,Cork,4.5,4.5,Burnley,73,2.242,65,1.871,68,2.066,66,1.833,68,2.308
M,Stephens,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
D,Long,4.0,4.0,Burnley,0,0,0,0,0,0,0,0,0,0
F,Rodriguez,5.5,5.5,Burnley,35,1.717,37,1.515,36,1.592,37,1.47,37,1.917
F,Barnes,5.5,5.5,Burnley,46,2.188,45,1.759,45,1.937,45,1.69,45,2.328
D,Mee,5.0,5.0,Burnley,88,2.699,85,2.231,83,2.716,82,1.757,80,3.489
M,Westwood,5.5,5.5,Burnley,67,2.204,83,2.429,82,2.588,82,2.31,80,2.939
M,Gudmundsson,5.5,5.5,Burnley,56,2.2,55,1.887,54,2.004,53,1.756,55,2.379
F,Wood,6.9,6.9,Burnley,66,3.638,62,2.728,63,3.087,62,2.584,61,3.635
D,Lowton,4.5,4.5,Burnley,89,2.612,84,2.15,83,2.628,83,1.734,80,3.283
F,Vydra,5.5,5.5,Burnley,7,0.365,9,0.396,9,0.429,10,0.419,13,0.709
G,Pope,5.5,5.5,Burnley,89,3.601,89,3.449,88,3.617,88,3.276,86,3.969
D,Taylor,4.5,4.5,Burnley,87,2.536,83,2.127,83,2.622,81,1.699,81,3.352
G,Norris,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
M,Brownhill,4.5,4.5,Burnley,73,2.61,69,2.201,70,2.391,69,2.118,69,2.742
M,Benson,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
G,Peacock-Farrell,4.5,4.5,Burnley,0,0,0,0,0,0,0,0,0,0
M,McNeil,5.9,5.9,Burnley,86,3.311,84,2.8,82,2.98,79,2.548,77,3.315
D,Azpilicueta,6.0,6.0,Chelsea,41,1.36,44,2.343,41,1.675,44,1.567,48,2.684
F,Giroud,6.5,6.5,Chelsea,0,0,0,0,0,0,0,0,0,0
